"week","ordenes","revenue"
"2024-12-02","41","1770126"
"2024-12-09","389","24855787"
"2024-12-16","451","27045780"
"2024-12-23","275","16081530"
"2024-12-30","249","13687943"
"2025-01-06","484","19445106"
"2025-01-13","639","28575086"
"2025-01-20","1010","42068931"
"2025-01-27","540","36232918"
"2025-02-03","1049","62522888"
"2025-02-10","1339","66460842"
"2025-02-17","913","44235022"
"2025-02-24","1241","64031151"
"2025-03-03","1062","55727510"
"2025-03-10","1443","74084146"
"2025-03-17","1529","77587870"
"2025-03-24","1341","76969900"
"2025-03-31","1724","97407903"
"2025-04-07","1620","107244148"
"2025-04-14","1018","75893486"
"2025-04-21","1498","101674203"
"2025-04-28","1030","80750776"
"2025-05-05","1161","96254295"
"2025-05-12","1673","110013104"
"2025-05-19","1212","79342813"
"2025-05-26","1415","85844520"
"2025-06-02","1605","102660942"
"2025-06-09","1629","89895183"
"2025-06-16","1053","80997681"
"2025-06-23","1615","112038100"
"2025-06-30","2247","125272800"
"2025-07-07","1510","101677930"
"2025-07-14","1457","94122259"
"2025-07-21","1250","90692843"
"2025-07-28","1165","92576333"
"2025-08-04","1301","101790711"
"2025-08-11","1640","97068687"
"2025-08-18","1179","87450112"
"2025-08-25","1172","96331710"
"2025-09-01","1545","116966774"
"2025-09-08","1517","103441611"
"2025-09-15","1483","112471117"
"2025-09-22","1452","100974772"
"2025-09-29","1765","116405293"
"2025-10-06","1849","108614280"
"2025-10-13","1979","111478016"
"2025-10-20","1895","117020758"
"2025-10-27","1778","117038978"
"2025-11-03","3335","245465614"
"2025-11-10","1984","128084584"
"2025-11-17","1625","110594073"
"2025-11-24","2338","166847122"
"2025-12-01","2166","136810460"
"2025-12-08","36","2240247"
